protein,control_1,control_2,control_3,obesity_1,obesity_2,obesity_3
P24369,2622200000,2859900000,3128399999.9999995,949360000,1262400000,1097600000
P24456,4059899999.999999,4138399999.999999,3229499999.9999995,1734199999.9999998,1205700000,1653299999.9999998
P24457,223020000,212930000,202630000,135420000,144740000,181870000
P24472,NA,70070000,68323000,NA,30099000,NA
P24527,NA,56440000,21926000,NA,NA,NA
P24549;Q9JHW9,11468000000,9655400000,12100000000,18705000000,17943000000,17119000000
P24668,NA,NA,19991000,15961000,NA,17502000
P25444,2430100000,2404400000,1810600000,1729799999.9999998,1964000000,1832700000
P25688,35994000000,36374000000,40379000000,33918000000,33591000000,36928000000
P25911;P08103;P05480;P39688;Q04736,NA,114330000,95024000,NA,24281000,NA
P25976,32973000,35759000,43030000,5971600,NA,5957400
P26039,2121000000,1852200000,1816500000,2064000000,2258100000,1825000000
P26041,NA,23002000,NA,NA,NA,NA
P26043,1262900000,1132300000,1221700000,819030000,726300000,824460000
P26150;P26149;O35469;P24815,688490000,325630000,683330000,358070000,541740000,459130000
P26231;REV__Q9JMB1;Q65CL1,784970000,907020000,545110000,430790000,414550000,547660000
P26350,29771000,NA,NA,62082000,45123000,46180000
P26369,1207100000,1431800000,1110100000,1108500000,1049100000,1207400000
P26443,30522000000,33668000000,31725000000,25102000000,24983000000,24600000000
P26516,NA,102550000,67159000,25399000,NA,NA
P26638,29802000,137100000,76377000,12054000,18272000,52639000
P26645,NA,NA,74394000,83019000,63507000,80612000
P27046,140740000,153090000,56112000,215270000,226120000,117360000
P27048;P63163,477140000,541270000,752850000,261050000,321270000,297470000
P27546,NA,22579000,31367000,81868000,134060000,20316000
P27659;E9PWZ3,1836000000,1724699999.9999998,1498699999.9999998,1165700000,942480000,1327400000
P27773,12687000000,8159699999.999999,9334600000,9077500000,6909499999.999999,7568299999.999999
P27786,NA,NA,NA,7674500,NA,NA
P28063,63239000,NA,NA,73899000,77060000,59078000
P28271,767940000,573160000,675790000,819980000,926590000,710960000
P28301,32691000,NA,NA,23958000,26853000,NA
P28352,9431700,55778000,14493000,NA,78633000,NA
P28474;Q64437,662770000,1048400000,1036700000,712600000,109120000,936630000
P28481,42210000,41872000,NA,NA,NA,15590000
P28653,1694099999.9999998,2800700000,3067799999.9999995,1488799999.9999998,1444700000,2236000000
P28654,1027300000,1186500000,1077300000,1103900000,830460000,939910000
P28656,99175000,NA,86645000,93937000,67457000,79120000
