protein,control_1,control_2,control_3,obesity_1,obesity_2,obesity_3
Q64521,123290000,60228000,163040000,1124400000,662180000,668630000
Q9D2U9;Q8CGP0;Q64524,947630000,1088500000,1130700000,NA,NA,NA
Q64525;Q8CGP2;Q8CGP1;Q6ZWY9;Q64478;Q64475;P10854;P10853;P70696,26150000000,31468000000,31681000000,14338000000,14794000000,15514000000
Q64727,521780000,534980000,419210000,285220000,490130000,311290000
Q64737,NA,33123000,NA,NA,NA,NA
Q64FW2,NA,22469000,38344000,NA,NA,29811000
Q65Z40,NA,NA,NA,NA,NA,9602700
Q68FD5,5775900000,5435500000,6370499999.999999,3712199999.999999,2956899999.9999995,4310000000
Q68FL6,NA,NA,35088000,NA,NA,NA
Q69ZK9,NA,268320000,301480000,343380000,423970000,389450000
Q69ZS7,95429000,NA,133010000,57429000,34733000,38255000
Q69ZX8,83543000,67865000,69996000,NA,33551000,NA
Q6A068,NA,NA,19369000,NA,30708000,NA
Q6A0A2,45475000,65791000,63191000,109800000,135770000,223380000
Q6A0A9,184470000,245540000,288930000,426650000,299170000,364230000
Q6A4J8,NA,NA,50707000,119310000,122090000,NA
Q6DFW4,NA,109910000,223230000,12613000,NA,48463000
Q6DIC0,31955000,22600000,34489000,29880000,40807000,31333000
Q6GQT9,NA,70040000,75644000,24944000,79829000,90811000
Q6IRU2,NA,44717000,NA,58679000,11009000,14216000
Q6IRU5,85560000,NA,NA,17632000,NA,24005000
Q6NS46,59678000,4194100,NA,NA,NA,NA
Q6NV83,30450000,13091000,NA,NA,20067000,NA
Q6NVF9,NA,NA,NA,NA,49721000,64257000
Q6NZC7,NA,NA,NA,NA,106390000,NA
Q6NZJ6,976380000,996120000,1013700000,1572799999.9999998,2177800000,2191500000
Q6P069,469850000,155520000,173910000,NA,NA,NA
Q6P1B1,26940000,14364000,31100000,NA,NA,12640000
Q6P2K6,NA,10053000,NA,43627000,NA,9069800
Q6P3A8,225090000,252570000,242600000,510930000,325420000,260420000
Q6P4T2,414150000,348600000,261030000,119880000,83713000,70983000
Q6P542,461210000,462720000,382960000,326090000,278230000,255110000
Q6P5E4,574700000,376900000,369210000,195640000,280420000,45831000
Q6P6M5,10750000,NA,35990000,25054000,20246000,23983000
Q6P6M7,358530000,483970000,104480000,645090000,399950000,835650000
Q6P8W9,NA,NA,NA,104460000,NA,79982000
Q6P8X1,72189000,31573000,37089000,NA,21300000,NA
Q6P9Q4,NA,30983000,37162000,NA,NA,NA
Q6P9Q6,NA,NA,NA,23506000,30712000,50242000
Q6P9R1,NA,NA,65677000,NA,NA,NA
Q6P9R2;Q9Z1W9,105390000,103800000,48139000,290450000,209220000,167160000
Q6PA06,NA,NA,14580000,NA,NA,NA
Q6PAM1,NA,NA,NA,NA,44859000,12135000
Q6PB66,634560000,837300000,882910000,494860000,522800000,327610000
Q6PDG5,110550000,96309000,118690000,77588000,87620000,52048000
Q6PDI5,NA,19559000,NA,NA,8334300,NA
Q6PDM2,775250000,788890000,720330000,143140000,24414000,156120000
Q6PDN3,NA,104870000,76134000,128300000,122570000,131760000
Q6PDQ2;A2A8L1,53288000,83529000,37279000,44164000,17219000,82050000
Q6PHS6,NA,NA,179240000,NA,86183000,119530000
Q6PIE5;Q6PIC6;Q9WV27;Q9Z1W8,60180000,NA,NA,NA,NA,NA
Q6RHR9,34193000,NA,39377000,147230000,38534000,81639000
Q6URW6,NA,227890000,256650000,188940000,19358000,187920000
Q6WVG3,NA,NA,NA,30440000,14056000,32082000
Q6XVG2,375830000,434680000,406750000,46981000,54639000,NA
Q6Y7W8,141650000,NA,NA,171790000,124390000,NA
Q6ZPE2,15052000,26501000,23389000,46444000,45035000,109130000
Q6ZPR5,NA,18869000,36609000,NA,NA,NA
Q6ZQ08,56691000,85404000,35473000,177010000,176180000,152110000
Q6ZQ38,51526000,128810000,35205000,51174000,33803000,21652000
Q6ZQ58,133480000,87884000,NA,6373300,54553000,15588000
Q6ZQI3,176320000,148870000,175930000,75563000,NA,111660000
Q6ZWN5,1718299999.9999998,1801800000,2170800000,991280000,1238400000,1814600000
Q6ZWQ7,54202000,NA,NA,NA,NA,NA
Q6ZWV3;P86048,1594799999.9999998,921390000,1826800000,161740000,477910000,292910000
Q6ZWV7,1133400000,1104200000,1140800000,967510000,987860000,1107200000
Q6ZWX6,1286200000,1215400000,1096100000,1369400000,1359300000,1409700000
Q6ZWY3;Q6ZWU9,650500000,563430000,976370000,226860000,401580000,344540000
Q71KT5,211640000,151150000,264030000,24853000,106150000,56581000
Q71KU9,NA,30877000,NA,NA,NA,NA
Q71LX4,263720000,NA,69011000,20332000,134160000,153040000
Q71RI9,61213000,334830000,308360000,444190000,154560000,107080000
Q76LS9,107320000,NA,NA,89676000,NA,82914000
Q8VCA0;Q76M72,78964000,125350000,98128000,128510000,NA,77024000
Q76MZ3,NA,62132000,NA,NA,NA,NA
Q78IK2,1027700000,1067000000,1406900000,779110000,456510000,545420000
Q78IK4,NA,88413000,66004000,148860000,82577000,137670000
Q78JT3,2111100000,1899000000,1950800000,1520999999.9999998,1784699999.9999998,1867800000
Q78KK3,NA,10079000,9008600,NA,NA,NA
Q78PY7,6522399999.999999,5786000000,5889599999.999999,2902000000,2918299999.9999995,2718000000
Q78ZA7,62835000,49559000,40091000,43903000,37918000,NA
Q791V5,363730000,1015800000,1158700000,172780000,193030000,66784000
Q7M6Y3;Q61548,847910000,729660000,616450000,826120000,788410000,947020000
Q7TMB8;Q5SQX6,54104000,872990000,878410000,274100000,367550000,414900000
Q7TMF3,591910000,730750000,659220000,438560000,341660000,406630000
Q7TMK9,829110000,1009100000,791830000,56569000,213580000,246490000
Q7TMM9;Q9CWF2,1596999999.9999998,1722699999.9999998,1795799999.9999998,2994799999.9999995,3473699999.9999995,3989699999.999999
Q7TMS5,NA,NA,NA,64901000,70469000,65200000
Q7TMW6,NA,NA,NA,18609000,NA,NA
Q7TMY8,NA,NA,15233000,NA,NA,NA
Q7TN29,NA,NA,NA,77195000,137250000,39582000
Q7TNC4;Q9CYI4,169210000,124600000,150610000,237950000,261680000,398100000
Q7TNG8,875110000,994710000,1641299999.9999998,500640000,280200000,823940000
Q7TNV0,36440000,48294000,NA,NA,NA,NA
Q7TPR4;Q9JI91;O88990,220280000,375240000,197550000,72874000,79452000,82208000
Q7TPV4,325380000,209760000,277930000,24406000,35150000,66648000
Q7TQG1,NA,NA,NA,77252000,90535000,17211000
Q7TQH0,NA,NA,NA,NA,41020000,56949000
Q7TSC1,NA,NA,NA,60810000,NA,22510000
Q7TT50,1223600000,1047500000,1264000000,1605999999.9999998,2088200000,1732499999.9999998
Q9EQ21;Q80T19,NA,NA,142130000,94401000,NA,NA
Q80U63,NA,NA,18603000,NA,NA,19219000
Q80UG5,NA,NA,71252000,NA,NA,10212000
Q80UM7,291540000,244700000,339060000,84917000,85988000,93202000
Q80UU9,NA,NA,NA,NA,46819000,NA
Q80VP1,NA,14668000,41997000,NA,36984000,NA
Q80W22,NA,60702000,82365000,NA,NA,NA
Q80W32,NA,NA,NA,NA,103280000,NA
Q80W54,38455000,NA,NA,33633000,NA,NA
Q80WC7,NA,NA,NA,NA,NA,13127000
Q80WJ7,141340000,181090000,250000000,114230000,150020000,161370000
Q80WW9,49194000,136700000,236000000,128080000,NA,101980000
Q80X19,7741699999.999999,7585399999.999999,7615999999.999999,22891000000,22960000000,23810000000
Q80X50,NA,NA,NA,78081000,64657000,64342000
Q80X85,31264000,34641000,36357000,37508000,45143000,NA
Q80X90;Q8VHX6,665990000,569090000,911180000,957950000,745880000,813500000
Q80XB4,NA,NA,40110000,NA,NA,NA
Q80XI3,NA,NA,NA,23569000,NA,39030000
Q80XI4;O70172,33802000,NA,NA,NA,NA,NA
Q80XL6,1439100000,1893400000,1022100000,2049700000,2241600000,2041000000
Q80XN0,4816500000,5250800000,5241600000,5611200000,6617699999.999999,6464999999.999999
Q80Y14,NA,NA,NA,218550000,266470000,252060000
Q80YR5,NA,NA,NA,NA,5577300,NA
Q80YX1,512910000,339900000,200830000,984470000,1357700000,1858700000
Q80ZK0,NA,NA,NA,30213000,47254000,37420000
Q80ZS3,NA,NA,64620000,47969000,26653000,52314000
Q810A7,NA,NA,NA,47711000,27624000,18645000
Q810J8,NA,NA,NA,NA,53268000,NA
Q811D0,NA,NA,NA,NA,NA,42638000
Q811S7,NA,NA,NA,NA,11170000,NA
Q8BFP9,20854000,NA,NA,84002000,29920000,87679000
Q8BFR5,6588799999.999999,5789600000,6389499999.999999,4624900000,5025900000,4673400000
Q8BFW7,252290000,312860000,295700000,533940000,787430000,491660000
Q8BFY6,214530000,260530000,280710000,258830000,164800000,371800000
Q8BFZ3,NA,NA,NA,NA,NA,536430000
Q8BFZ9;Q91X78,323910000,263990000,273270000,61160000,68748000,60376000
Q8BG05,6960399999.999999,5121000000,5942099999.999999,3706899999.999999,4102199999.999999,4976900000
Q8BG32,160430000,160730000,216420000,47370000,112690000,116040000
Q8BG51,NA,NA,NA,23324000,NA,NA
Q8BGA8,445930000,479290000,304570000,238150000,122340000,155450000
Q8BGC4,252800000,272350000,344250000,192670000,195270000,245100000
Q8BGD9,40367000,181540000,178990000,564140000,656560000,620470000
Q8BGG9,NA,NA,NA,NA,9030100,NA
Q8BGH2,170220000,172080000,30396000,53655000,55601000,143380000
Q8BGL3;P52843;P50236,798050000,1132100000,1274100000,250620000,119870000,194030000
Q8BGQ7,269720000,359440000,187730000,61170000,NA,59832000
Q8BGS1,177080000,53228000,145800000,22381000,NA,14814000
Q8BGT5,390820000,72818000,209610000,518940000,410120000,180310000
Q8BGX2,NA,51932000,30236000,NA,NA,NA
Q8BH00,2180800000,2538600000,2818500000,1354600000,1427400000,1594099999.9999998
Q8BH59,172680000,54688000,86304000,67285000,65356000,69607000
Q8BH86,NA,28976000,31721000,44319000,NA,NA
Q8BH95,3721299999.999999,2347300000,3611199999.999999,2496100000,4106799999.999999,2555800000
Q8BH97,NA,NA,NA,45679000,78304000,27973000
Q8BHD7,62044000,72546000,60853000,54773000,154530000,74316000
Q8BHI7,290800000,302210000,298220000,423050000,420000000,423510000
Q8BHN3,880010000,1179100000,1012600000,321970000,350370000,324250000
Q8BI08,83656000,NA,NA,190210000,169520000,183200000
Q8BI84,99135000,49274000,22273000,117090000,31809000,64610000
Q8BIJ6,275070000,159940000,105620000,53973000,9557200,14771000
Q8BIQ5;Q8C7E9,78617000,NA,NA,NA,NA,NA
Q8BIW1,NA,NA,NA,9768700,NA,NA
Q8BJ64,1373400000,1834100000,2212700000,2195300000,2697900000,2232800000
Q8BJ71,103390000,104790000,86633000,NA,NA,20489000
Q8BJY1,36254000,NA,NA,83043000,NA,42705000
Q8BK08,NA,35242000,43953000,NA,22742000,NA
Q8BK48,1104300000,759860000,723950000,951070000,561200000,476110000
Q8BK63,171300000,410350000,419220000,276440000,384590000,285400000
Q8BK64,208600000,254630000,151210000,166160000,160530000,207490000
Q8BK72,93284000,81995000,93883000,127190000,88835000,76856000
Q8BKC5,NA,41371000,NA,NA,NA,NA
Q8BKX1,63113000,29256000,83902000,132780000,288440000,83867000
Q8BKZ9,94416000,NA,NA,NA,119070000,91470000
Q8BL66,NA,52828000,NA,112490000,57365000,NA
Q8BL97,355790000,394840000,804210000,179220000,156120000,153460000
Q8BLF1,39308000,58471000,80948000,20882000,NA,29985000
Q8BM55,98136000,138880000,58613000,NA,38600000,34407000
Q8BMA6,115840000,80852000,210930000,198590000,186400000,101190000
Q8BMF4,694910000,511110000,748890000,1196700000,885630000,943800000
Q8BMG7,NA,9735200,9406400,5730900,NA,7580300
Q8BMJ2,NA,NA,NA,31399000,31678000,21893000
Q8BMK4,5201200,NA,NA,NA,NA,NA
Q8BMP6,122630000,108870000,168200000,NA,NA,NA
Q8BMS1,16001000000,10926000000,12069000000,10832000000,14020000000,13576000000
Q8BMS4,81967000,31360000,94083000,61929000,97462000,76088000
Q8BNX1,NA,119640000,100430000,NA,NA,NA
Q8BP27,49401000,54183000,61048000,50662000,NA,55474000
Q8BP40,NA,NA,NA,42267000,34497000,NA
Q8BP47,237740000,347970000,261080000,69106000,95939000,146570000
Q8BP67,755870000,680170000,1396100000,456410000,423600000,650430000
Q8BP71,NA,NA,NA,28808000,NA,35726000
Q8BPB5,228490000,238490000,255270000,199010000,202040000,216580000
Q8BQZ5,36267000,NA,NA,NA,NA,22036000
Q8BRF7,149140000,136070000,99213000,87763000,NA,132320000
Q8BSE0,131270000,216740000,126120000,63422000,148220000,82192000
Q8BSY0,76988000,99429000,87777000,56467000,55544000,136150000
Q8BT60;P59108;Q1RLL3;Q9Z140;Q8BLR2;Q0VE82;Q9DC53;Q8JZW4,108330000,82127000,75676000,115330000,131000000,52024000
Q8BTM8,342270000,495400000,476570000,568610000,778070000,394880000
Q8BTV2,NA,NA,NA,126010000,NA,NA
Q8BTY1,76249000,73068000,155770000,30331000,34265000,NA
Q8BU30,68887000,19077000,NA,NA,41602000,140310000
Q8BUK6,NA,NA,29673000,21825000,27038000,19480000
Q8BVI4,1257000000,1812500000,1277100000,1136000000,865220000,1506299999.9999998
Q8BVL3,NA,21348000,NA,NA,NA,NA
Q8BW75,2156700000,2273100000,2649200000,2650500000,3463199999.9999995,2629000000
Q8BWF0,530500000,668450000,410270000,486980000,571720000,440230000
Q91W59;Q8BWL5,NA,NA,39048000,NA,NA,87469000
Q8BWM0,NA,NA,NA,NA,57231000,NA
Q8BWN8,107060000,107960000,99050000,581690000,634330000,632360000
Q8BWP5,86651000,130990000,174370000,101330000,110060000,176050000
Q8BWQ1;Q80X89;Q6PDD0,1921900000,2223900000,2338700000,894220000,931150000,749960000
Q8BWT1,44462000000,51493000000,46897000000,39382000000,40302000000,39362000000
Q8BWU8,NA,33048000,29152000,NA,NA,NA
Q8BWW4,105030000,34171000,NA,116300000,NA,NA
Q8BWW9,NA,NA,NA,14383000,11353000,49293000
Q8BWY3,19691000,25243000,76238000,NA,12086000,8637400
Q8BX02,NA,NA,13109000,31768000,104750000,21448000
Q8BXB6,96285000,31372000,45838000,NA,NA,22127000
Q8BXQ6,NA,29135000,NA,NA,NA,NA
Q8BXV2,NA,51308000,52619000,28590000,NA,NA
Q8BY87,6908700,6392100,23414000,NA,NA,NA
Q8BYC6,423790000,579990000,675150000,758580000,861420000,890710000
Q8BZ09,NA,NA,NA,38257000,72307000,80065000
Q8BZ98,NA,NA,9736300,NA,NA,NA
Q8BZZ3,NA,NA,74078000,59473000,NA,38932000
Q8C025,NA,NA,NA,28315000,NA,NA
Q8C0C7,195100000,96148000,80649000,42310000,NA,NA
Q8C0D5,40275000,NA,NA,56983000,14114000,35974000
Q8C165,10392000,11954000,14726000,NA,142010000,149840000
Q8C181,NA,NA,19457000,NA,NA,NA
Q8C196;B2RQC6,351440000000,335880000000,363720000000,142340000000,133020000000,139400000000
Q8C2Q3,314620000,52428000,331250000,606410000,529580000,549950000
Q8C4J7,NA,NA,NA,NA,37489000,NA
Q8C5H8,584610000,530840000,911330000,542810000,549230000,408160000
Q8C5L3,NA,NA,NA,18701000,NA,NA
Q8C5W0,NA,NA,NA,33396000,NA,NA
Q8C650,17707000,22705000,36897000,17335000,NA,NA
Q8C6G8,NA,NA,NA,6493600,18580000,NA
Q8C6K9,1427700000,1667499999.9999998,1258000000,513610000,687880000,498060000
Q8C7E7,27735000,NA,38534000,80681000,24210000,152380000
Q8C7G5,NA,NA,NA,54513000,102540000,12570000
Q8C7X2,NA,NA,NA,NA,17960000,21199000
Q8C863,335780000,123220000,369830000,325300000,463100000,234450000
Q8C8U0,43543000,NA,NA,35605000,15943000,44512000
Q8CAK1,NA,NA,NA,17458000,NA,NA
Q8CAQ8,2170500000,1168900000,1320200000,1751299999.9999998,2074100000,1964600000
Q8CAS9,237260000,465220000,364680000,NA,73404000,107830000
Q8CAY6,1660199999.9999998,1403700000,1359400000,1760299999.9999998,1216600000,1464399999.9999998
Q8CC35,NA,NA,NA,36592000,46266000,30312000
Q8CC86,100780000,64360000,NA,NA,18282000,NA
Q8CC88,NA,94142000,101560000,1458299999.9999998,1010000000,1461999999.9999998
Q8CCJ3,182680000,48004000,184880000,45463000,23967000,43202000
Q8CCP0,NA,NA,NA,NA,NA,4650500
Q8CDN6,198910000,135500000,11083000,134670000,NA,82447000
Q8CEE7,NA,NA,NA,13891000,NA,NA
Q8CFD4,NA,NA,NA,NA,16619000,NA
Q8CFE4,36219000,64570000,77294000,38932000,35033000,53937000
Q8CFI0,30964000,NA,78949000,36109000,27865000,24194000
Q8CFI7,38260000,NA,NA,41814000,56972000,44953000
Q8CFX1,707330000,469290000,748190000,209650000,280530000,297270000
Q8CG19,NA,30660000,129140000,50484000,104420000,97737000
Q8CG76,476410000,524440000,259160000,200120000,695290000,260220000
Q8CGB3,NA,NA,NA,7440000,NA,7944000
Q8CGB6,NA,NA,NA,55954000,NA,NA
Q8CGC7,396360000,544240000,448440000,300100000,222910000,221670000
Q8CGF7,NA,NA,NA,84307000,60762000,98099000
Q8CGK3,1302400000,1408800000,1337000000,780940000,757130000,706820000
Q8CH18,331280000,71202000,12300000,552640000,278800000,136940000
Q8CH25,NA,NA,NA,52632000,48619000,49342000
Q8CHG3,15180000,NA,NA,NA,NA,14623000
Q8CHP5,29830000,NA,NA,66438000,196700000,111710000
Q8CHQ9;Q9JIY7;E0CYC6,861760000,848510000,696640000,875990000,515070000,933140000
Q8CHR6,659250000,390200000,409260000,526560000,464570000,493960000
Q8CHT0,5367600000,6934399999.999999,7690599999.999999,7732299999.999999,6798399999.999999,7616999999.999999
Q8CI08,26500000,NA,NA,28214000,43219000,28883000
Q8CI51,40182000,81188000,24127000,208330000,70006000,179370000
Q8CIE6,477230000,132530000,389310000,48798000,40115000,245800000
Q8CIM7,3684099999.999999,3187599999.9999995,3072899999.9999995,4259599999.999999,4351200000,4358900000
Q8JZN5,149750000,221280000,144320000,114800000,147670000,182250000
Q8JZN7,17418000,NA,NA,NA,NA,NA
Q8JZQ2,29170000,48941000,NA,NA,79708000,NA
Q8JZQ9,204580000,725530000,1110200000,294080000,107430000,207880000
Q8JZR0,938880000,1491699999.9999998,1472099999.9999998,1027200000,1186800000,884870000
Q8JZU2,1322700000,1114100000,1428200000,1228900000,954970000,875790000
Q8JZZ0,792010000,732850000,815650000,684410000,893420000,368990000
Q8K010,180280000,165680000,159160000,280900000,217680000,157780000
Q8K012,38152000,NA,NA,NA,NA,NA
Q8K019,75261000,258200000,34612000,NA,NA,NA
Q8K0C4,58607000,NA,NA,NA,NA,NA
Q8K0D0;P49615;P11440;P30285;Q80YP0;Q64261;P97377;Q99J95;Q3V3A1;Q04899;O35495;Q04735;Q14AX6;Q69ZA1,NA,1271000000,1203400000,873930000,1079000000,NA
Q8K0D5,160390000,102770000,138800000,48360000,118400000,81188000
Q8K0E8;CON__P02676,11873000000,11669000000,13324000000,14644000000,16150000000,17346000000
Q8K0L9,NA,38416000,59110000,NA,NA,14185000
Q8K0Z7,NA,NA,19514000,NA,NA,NA
Q8K157,371940000,255660000,334960000,303360000,276740000,188040000
Q8K182,NA,212410000,146470000,NA,NA,NA
Q8K1A6,NA,NA,NA,NA,NA,23176000
Q8K1E0,NA,28421000,36259000,50096000,54872000,58824000
Q8K1M6,138850000,86293000,97493000,286820000,247250000,147360000
Q8K1N2,NA,NA,NA,NA,11768000,15664000
Q8K1R3,NA,20554000,NA,NA,NA,NA
Q8K1Z0,107110000,459680000,304880000,311900000,NA,281420000
Q8K215,92634000,NA,113570000,34687000,NA,NA
Q8K224,61210000,40847000,106320000,16492000,NA,42021000
Q8K268,69671000,85143000,148160000,112420000,158520000,202440000
Q8K297,NA,NA,NA,16112000,41774000,NA
Q8K2B3,5420400000,5370700000,5758900000,2571500000,2829300000,3143199999.9999995
Q8K2C9,434460000,450930000,457390000,387340000,330540000,373910000
Q8K2F0;Q9ESU6,NA,NA,NA,NA,NA,35053000
Q8K2F8,NA,NA,NA,NA,51740000,44326000
Q8K2K6,NA,NA,NA,NA,37809000,41720000
Q8K310,964460000,1816000000,1904400000,567790000,515600000,617890000
Q8K370,NA,12568000,9441800,80716000,98371000,19432000
Q8K3J1,NA,176030000,NA,146230000,128480000,NA
Q8K3K7,NA,59209000,75763000,117780000,111740000,121830000
Q8K411,30205000,NA,NA,21633000,NA,11913000
Q8K441,NA,26449000,NA,NA,NA,NA
Q8K4F5,39158000,57293000,NA,19360000,18338000,17922000
Q8K4G1,83863000,63927000,79178000,238460000,133050000,154920000
Q8K4Z3,123980000,171060000,174130000,258020000,336800000,395280000
Q8K4Z5,NA,NA,NA,78835000,49379000,NA
Q8K5B2,205820000,211940000,257660000,150350000,144720000,103790000
Q8N7N5,NA,27089000,NA,NA,NA,26786000
Q8N9S3,13121000,NA,NA,NA,25000000,42791000
Q8QZR1,28363000,NA,31612000,NA,NA,NA
Q8QZR3,2307600000,2319600000,2627600000,509540000,168460000,318920000
Q8QZR5,805630000,359110000,674020000,1056900000,1111500000,904390000
Q8QZS1,647400000,735740000,681040000,292610000,465200000,418510000
Q8QZT1,5986499999.999999,6054399999.999999,6044399999.999999,14660000000,14605000000,15426000000
Q8QZY1,252990000,53017000,265500000,94419000,129200000,93582000
Q8QZY2,124930000,207810000,133310000,29752000,140970000,105870000
Q8R007,NA,90365000,NA,NA,NA,NA
Q8R010,47699000,31861000,57031000,22023000,20062000,20016000
Q8R059,36955000,NA,17440000,12428000,12528000,20190000
Q8R081,841060000,1429100000,1063700000,170430000,235290000,267140000
Q8R086,710050000,540830000,936220000,426410000,956260000,742840000
Q8R0F8,64244000,62473000,69827000,47221000,50359000,45328000
Q8R0F9,220830000,98962000,428240000,253190000,320260000,169040000
Q8R0N6,126990000,304650000,308810000,NA,10326000,94326000
Q8R0V5,151600000,82015000,67436000,13639000,77328000,69757000
Q8R0W0,365340000,374390000,811430000,62021000,17303000,152190000
Q8R0X7,45099000,59663000,46372000,14451000,NA,54600000
Q8R0Y6;Q8K009,17366000000,19359000000,20861000000,11989000000,11540000000,11792000000
Q8R0Y8,62248000,57666000,69403000,108260000,NA,41631000
Q8R0Z6,25878000,NA,NA,234130000,274110000,132940000
Q8R123,29616000,NA,20737000,16497000,17072000,20165000
Q8R146,25848000,NA,NA,28027000,NA,NA
Q8R151,NA,NA,NA,7734800,7894100,NA
Q8R164,286840000,298850000,506920000,903040000,896660000,775200000
Q8R1B4,404150000,400470000,384570000,318100000,404870000,351490000
Q8R1G2,NA,105850000,223730000,NA,59217000,99455000
Q8R1I1,1179200000,1013200000,1156300000,367360000,267880000,NA
Q8R1S4,NA,NA,NA,17043000,27209000,24135000
Q8R1V4,NA,89854000,58204000,71768000,171200000,42278000
Q8R2R3,NA,NA,NA,3206500,3251100,NA
Q8R2Y8,54255000,105240000,78881000,39205000,43645000,75865000
Q8R2Z5,50016000,44633000,62107000,NA,NA,NA
Q8R317;Q99NB8,219630000,250820000,210730000,219220000,274540000,264950000
Q8R326,83985000,88698000,83495000,138390000,149290000,187270000
Q8R3F5,NA,NA,NA,20428000,NA,NA
Q8R3G1,NA,26620000,NA,NA,NA,NA
Q8R3L2,320670000,306970000,291730000,448990000,475330000,331000000
Q8R3Q6,226640000,237360000,270210000,NA,170580000,NA
Q8R404,NA,NA,NA,13808000,NA,NA
Q8R4H7,155150000,90280000,108980000,111530000,112310000,115480000
Q8R4N0,341270000,163090000,185470000,150380000,144240000,146180000
Q8R4U0,NA,NA,NA,22285000,46015000,NA
Q8R4Y4,NA,NA,NA,23614000,22444000,51616000
Q8R570,52881000,36436000,NA,127880000,134800000,37611000
Q8R5J9,59431000,NA,52705000,NA,NA,NA
Q8VBT2,738590000,542920000,434430000,397150000,329670000,418020000
Q8VBT9,NA,NA,19673000,47414000,53515000,NA
Q8VBW8,1972600000,1563999999.9999998,2761700000,2933099999.9999995,2962599999.9999995,3118999999.9999995
Q8VBZ3,18154000,NA,NA,NA,NA,NA
Q8VC12,1323500000,1868700000,1620599999.9999998,1113900000,917630000,1353600000
Q8VC28,132920000,347960000,NA,NA,223040000,24869000
Q8VC30,5882799999.999999,6551899999.999999,6761599999.999999,5889599999.999999,5588700000,6814599999.999999
Q8VC52,NA,NA,NA,NA,NA,280410000
Q8VCA8,79366000,57549000,120490000,NA,NA,26397000
Q8VCB3;Q9Z1E4,797620000,863020000,1163400000,688440000,637700000,763870000
Q8VCC1,686340000,565940000,201470000,977230000,1040100000,1197300000
Q8VCC2,1300600000,1178300000,642060000,1890700000,1454500000,1905500000
Q8VCF0,NA,NA,NA,57662000,50837000,38962000
Q8VCG4,89409000,140840000,228760000,83574000,28455000,126880000
Q8VCH0,2913600000,2459200000,3067499999.9999995,7955799999.999999,8824900000,8789500000
Q8VCH8,55439000,108580000,82426000,105870000,NA,70665000
Q8VCM7,9507600000,10684000000,9212500000,13689000000,11069000000,13153000000
Q8VCM8,NA,4124300,11371000,NA,NA,NA
Q8VCN5,490440000,637140000,768000000,943370000,1128700000,893950000
Q8VCR2,1168600000,1137600000,1337000000,1199400000,1278200000,951770000
Q8VCR7,430000000,526470000,805400000,483550000,772640000,690870000
Q8VCT3,NA,NA,NA,NA,28587000,NA
Q8VCT4,7312399999.999999,9562400000,7761499999.999999,7247999999.999999,6368299999.999999,8387299999.999999
Q8VCU1,1464799999.9999998,1891300000,2226300000,NA,237440000,228370000
Q8VCW8,4767600000,4378300000,4748900000,2414100000,2699900000,2743500000
Q8VCX1,1436800000,1672499999.9999998,1328000000,1117700000,1275600000,1250300000
Q8VCZ9,46002000,56476000,99743000,108060000,125150000,79158000
Q8VD00,79948000,28736000,96345000,NA,NA,NA
Q8VDD5,7759999999.999999,8206699999.999999,8502099999.999999,8072399999.999999,7734199999.999999,8005099999.999999
Q8VDG7,NA,56473000,NA,NA,35041000,26092000
Q8VDJ3,7250699999.999999,7833099999.999999,7565399999.999999,4755600000,4202599999.999999,3633299999.999999
Q8VDK1,NA,NA,38176000,NA,122210000,NA
Q8VDM4,NA,32888000,NA,146170000,166060000,231510000
Q8VDN2,3097299999.9999995,3821699999.999999,3823499999.999999,2329200000,2882800000,2670800000
Q8VDW0,25777000,58823000,86943000,NA,NA,NA
Q8VE09,141890000,116770000,166150000,NA,NA,NA
Q8VE19,146820000,188210000,175810000,NA,NA,NA
Q8VE37,68449000,52215000,NA,NA,NA,NA
Q8VEK0;Q8BHG3,147960000,51277000,32649000,64101000,NA,46863000
Q8VEK3,5602300000,5700200000,5895899999.999999,2965399999.9999995,2811000000,3193499999.9999995
Q8VEM8,3905199999.999999,4495100000,4466500000,3472299999.9999995,3280799999.9999995,3073399999.9999995
Q8VH51,247120000,388360000,403320000,128470000,191280000,193840000
Q8VHE0,390700000,274930000,436780000,79873000,NA,28256000
Q8VHH5;Q8BXK8,NA,NA,NA,10575000,20655000,16228000
Q8VHR5,NA,42761000,NA,NA,NA,NA
Q8VI36,NA,NA,NA,57941000,59027000,63223000
Q8VI47,71315000,93515000,121720000,156890000,199520000,123250000
Q8VIJ6,7052999999.999999,6279899999.999999,6442399999.999999,8458699999.999999,6152299999.999999,7531599999.999999
Q91V01,NA,NA,82076000,NA,91969000,NA
Q91V04,122250000,117820000,NA,NA,NA,NA
Q91V41,184650000,306410000,434840000,127660000,271690000,26974000
Q91V64,107190000,55252000,99798000,223220000,270680000,NA
Q91V76,158490000,165070000,200270000,276080000,187270000,183270000
Q91V92,1983400000,1492699999.9999998,1892000000,1151400000,735600000,1243300000
Q91VA0,3995399999.999999,4447300000,3846999999.999999,2013800000,1719399999.9999998,2226200000
Q91VA6,154230000,158910000,163870000,115410000,NA,131010000
Q91VC3,449460000,509030000,441410000,NA,71009000,63110000
Q91VD9,3297999999.9999995,3173199999.9999995,2958899999.9999995,2204200000,2354600000,2392200000
Q91VH2,841640000,1025300000,769400000,1328400000,682470000,1338300000
